goal_difference,goals_against,goals_for,losses,ot_losses,source_url,team_name,win_percentage,wins,year
35,264,299,24,,https://www.scrapethissite.com/pages/forms/,Boston Bruins,0.55,44,1990
14,278,292,30,,https://www.scrapethissite.com/pages/forms/,Buffalo Sabres,0.388,31,1990
81,263,344,26,,https://www.scrapethissite.com/pages/forms/,Calgary Flames,0.575,46,1990
73,211,284,23,,https://www.scrapethissite.com/pages/forms/,Chicago Blackhawks,0.613,49,1990
-25,298,273,38,,https://www.scrapethissite.com/pages/forms/,Detroit Red Wings,0.425,34,1990
0,272,272,37,,https://www.scrapethissite.com/pages/forms/,Edmonton Oilers,0.463,37,1990
-38,276,238,38,,https://www.scrapethissite.com/pages/forms/,Hartford Whalers,0.388,31,1990
86,254,340,24,,https://www.scrapethissite.com/pages/forms/,Los Angeles Kings,0.575,46,1990
-10,266,256,39,,https://www.scrapethissite.com/pages/forms/,Minnesota North Stars,0.338,27,1990
24,249,273,30,,https://www.scrapethissite.com/pages/forms/,Montreal Canadiens,0.487,39,1990
8,264,272,33,,https://www.scrapethissite.com/pages/forms/,New Jersey Devils,0.4,32,1990
-67,290,223,45,,https://www.scrapethissite.com/pages/forms/,New York Islanders,0.312,25,1990
32,265,297,31,,https://www.scrapethissite.com/pages/forms/,New York Rangers,0.45,36,1990
-15,267,252,37,,https://www.scrapethissite.com/pages/forms/,Philadelphia Flyers,0.412,33,1990
37,305,342,33,,https://www.scrapethissite.com/pages/forms/,Pittsburgh Penguins,0.512,41,1990
-118,354,236,50,,https://www.scrapethissite.com/pages/forms/,Quebec Nordiques,0.2,16,1990
60,250,310,22,,https://www.scrapethissite.com/pages/forms/,St. Louis Blues,0.588,47,1990
-77,318,241,46,,https://www.scrapethissite.com/pages/forms/,Toronto Maple Leafs,0.287,23,1990
-72,315,243,43,,https://www.scrapethissite.com/pages/forms/,Vancouver Canucks,0.35,28,1990
0,258,258,36,,https://www.scrapethissite.com/pages/forms/,Washington Capitals,0.463,37,1990
